iter	Passed	Remaining
0	54	54683
1	67	33756
2	73	24573
3	82	20439
4	87	17421
5	92	15266
6	95	13602
7	99	12321
8	102	11274
9	103	10280
10	105	9461
11	108	8893
12	108	8256
13	111	7831
14	114	7487
15	116	7172
16	119	6907
17	120	6584
18	123	6357
19	124	6093
20	126	5918
21	129	5757
22	131	5604
23	134	5473
24	137	5350
25	139	5239
26	142	5125
27	144	5022
28	145	4885
29	148	4794
30	150	4718
31	153	4646
32	156	4578
33	158	4508
34	161	4448
35	164	4392
36	164	4279
37	164	4168
38	167	4117
39	167	4025
40	170	3986
41	173	3949
42	175	3910
43	178	3876
44	179	3801
45	181	3768
46	184	3740
47	186	3708
48	189	3677
49	192	3649
50	194	3628
51	196	3580
52	199	3570
53	202	3552
54	205	3530
55	206	3485
56	209	3462
57	211	3442
58	214	3426
59	217	3414
60	221	3405
61	224	3390
62	226	3372
63	229	3354
64	232	3337
65	235	3337
66	238	3318
67	240	3299
68	243	3281
69	245	3265
70	248	3250
71	251	3236
72	253	3221
73	256	3210
74	260	3206
75	262	3193
76	265	3180
77	267	3166
78	270	3152
79	273	3140
80	275	3129
81	278	3117
82	281	3106
83	283	3095
84	286	3081
85	288	3070
86	291	3058
87	293	3045
88	296	3035
89	299	3024
90	301	3011
91	304	3000
92	306	2989
93	308	2977
94	311	2965
95	313	2955
96	316	2943
97	318	2932
98	321	2922
99	323	2911
100	325	2901
101	328	2893
102	331	2883
103	333	2873
104	336	2865
105	338	2855
106	340	2845
107	343	2836
108	345	2826
109	348	2820
110	350	2811
111	353	2804
112	356	2796
113	358	2789
114	361	2782
115	364	2774
116	366	2768
117	369	2764
118	372	2760
119	375	2752
120	377	2745
121	380	2739
122	383	2732
123	386	2727
124	388	2722
125	391	2718
126	394	2714
127	398	2712
128	401	2711
129	404	2707
130	407	2705
131	410	2701
132	414	2698
133	417	2696
134	419	2690
135	422	2685
136	425	2679
137	427	2672
138	430	2668
139	433	2665
140	436	2659
141	439	2654
142	442	2648
143	445	2648
144	448	2642
145	450	2636
146	453	2629
147	456	2628
148	459	2622
149	461	2616
150	464	2611
151	467	2607
152	470	2602
153	474	2604
154	476	2598
155	479	2593
156	482	2590
157	484	2584
158	487	2578
159	490	2573
160	493	2572
161	496	2568
162	499	2564
163	501	2558
164	504	2552
165	507	2547
166	509	2542
167	512	2536
168	515	2533
169	519	2536
170	522	2533
171	525	2529
172	528	2524
173	531	2521
174	534	2520
175	537	2514
176	539	2510
177	542	2504
178	544	2498
179	547	2495
180	551	2496
181	554	2491
182	557	2487
183	559	2481
184	562	2477
185	565	2472
186	567	2468
187	571	2468
188	574	2463
189	576	2457
190	579	2452
191	581	2448
192	584	2446
193	589	2448
194	592	2444
195	595	2441
196	598	2440
197	602	2440
198	607	2446
199	612	2451
200	619	2462
201	625	2469
202	630	2475
203	636	2482
204	647	2510
205	655	2527
206	659	2526
207	663	2524
208	666	2523
209	671	2525
210	675	2526
211	679	2525
212	682	2523
213	686	2520
214	688	2514
215	691	2509
216	693	2503
217	696	2499
218	699	2494
219	702	2489
220	704	2484
221	707	2478
222	709	2473
223	712	2468
224	715	2463
225	717	2458
226	720	2452
227	722	2447
228	725	2442
229	728	2437
230	730	2432
231	733	2426
232	735	2421
233	737	2415
234	740	2410
235	742	2404
236	745	2400
237	747	2394
238	750	2389
239	752	2383
240	755	2378
241	757	2373
242	760	2368
243	762	2363
244	765	2358
245	767	2353
246	770	2349
247	773	2344
248	775	2338
249	777	2333
250	780	2328
251	782	2323
252	785	2318
253	787	2313
254	790	2308
255	793	2305
256	796	2302
257	799	2299
258	802	2295
259	806	2294
260	809	2290
261	811	2286
262	814	2282
263	816	2277
264	819	2272
265	821	2267
266	824	2262
267	826	2258
268	829	2253
269	831	2248
270	834	2243
271	836	2239
272	838	2234
273	841	2229
274	844	2225
275	846	2220
276	849	2216
277	852	2212
278	854	2208
279	857	2203
280	859	2199
281	862	2195
282	864	2190
283	867	2186
284	869	2182
285	872	2178
286	875	2174
287	877	2170
288	880	2166
289	882	2161
290	885	2157
291	888	2153
292	890	2149
293	893	2145
294	895	2140
295	898	2136
296	900	2132
297	903	2128
298	906	2124
299	908	2120
300	911	2115
301	913	2111
302	916	2107
303	919	2104
304	921	2099
305	923	2095
306	926	2091
307	929	2087
308	931	2083
309	934	2079
310	937	2076
311	939	2072
312	942	2068
313	944	2064
314	947	2060
